OTU ID	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
New.CleanUp.ReferenceOTU1017845	Chaetomium_globosum_CBS_14851|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Chaetomiaceae;g__Chaetomium;s__Chaetomium_globosum_CBS_14851	Chaetomium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Saprotroph-Wood Saprotroph	Microfungus	Soft Rot	Possible	Saprobic, acting as key decay organisms of plant materials and plant-derived commodities (Cannon & Kirk 2007); Epiphyte detection method-culture (Massimo et al. 2015); Endophyte detection method-culture (Busby et al. 2016, David et al. 2016); Likely opportunistic human pathogen (Irinyi et al. 2015)	Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Bills GF, et al. 2013. Current Opinion in microbiology, 16:549-565; Tedersoo L, et al. 2014. Science 346:1256688; Irinyi L, et al. 2015. Medical Mycology 53:313-337; Massimo NC, et al. 2015. Microbial Ecology 70:61-76; Busby PE, et al. 2016. New Phytologist 209:1681-1692; David AS, et al. 2016. Microbial Ecology 71:912-926
New.CleanUp.ReferenceOTU101921	Syncephalis_depressa|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Piptocephalidaceae;g__Syncephalis;s__Syncephalis_depressa	Syncephalis	13	Pathotroph	Fungal Parasite	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1023040	Cryptococcus_amylolentus|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellaceae;g__Cryptococcus;s__Cryptococcus_amylolentus	Cryptococcus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Undefined Saprotroph	Yeast	NULL	Possible	NULL	Andrews JH, et al. 1983. Phytopathology 73:228-234; Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego
New.CleanUp.ReferenceOTU1023586	Aspergillus_niger_ATCC_1015|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Trichocomaceae;g__Aspergillus;s__Aspergillus_niger_ATCC_1015	Aspergillus	13	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Animal Pathogen-Plant Saprotroph-Soil Saprotroph-Undefined Saprotroph-Wood Saprotroph	Microfungus	NULL	Probable	NULL	Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Tedersoo L, et al. 2014. Science 346:1256688; Irinyi L, et al. 2015. Medical Mycology 53:313-337; Massimo NC, et al. 2015. Microbial Ecology 70:61-76; http://www.apsnet.org/publications/commonnames/Pages/default.aspx; http://www.cdc.gov
New.CleanUp.ReferenceOTU102718	Genea_harknessii|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Pyronemataceae;g__Genea;s__Genea_harknessii	Genea	13	Symbiotroph	Ectomycorrhizal	NULL	NULL	Highly Probable	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html
New.CleanUp.ReferenceOTU1032669	Cleistocybe_vernalis|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Cleistocybe;s__Cleistocybe_vernalis	Cleistocybe	13	Saprotroph	Undefined Saprotroph	Agaricoid	NULL	Probable	NULL	Ammirati JF, et al. 2007. Mycoscience 48:282-289 (https://doi.org/10.1007/S10267-007-0365-5)
New.CleanUp.ReferenceOTU103297	Syncephalis_depressa|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Piptocephalidaceae;g__Syncephalis;s__Syncephalis_depressa	Syncephalis	13	Pathotroph	Fungal Parasite	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1034912	Pythium_violae|p__SAR;c__Stramenopiles;o__Peronosporomycetes;f__Pythium;g__Pythium violae;s__Pythium_violae	Pythium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
New.CleanUp.ReferenceOTU1037237	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Ascobolaceae;g__uncultured;s__uncultured_eukaryote	Ascobolaceae	9	Saprotroph	Dung Saprotroph-Soil Saprotroph-Wood Saprotrop	NULL	NULL	Probable	NULL	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
New.CleanUp.ReferenceOTU1042099	Apiotrichum_scarabaeorum|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Trichosporonaceae;g__Trichosporon;s__Apiotrichum_scarabaeorum	Trichosporon	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	Likely opportunistic human pathogen (Irinyi et al. 2015)	Irinyi L, et al. 2015. Medical Mycology 53:313-337; http://www.cdc.gov
New.CleanUp.ReferenceOTU1042440	Hyphodontia_rimosissima|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tubulicrinaceae;g__Hyphodontia;s__Hyphodontia_rimosissima	Hyphodontia	13	Saprotroph	Undefined Saprotroph	Corticioid	White Rot	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1043899	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Ascobolaceae;g__uncultured;s__uncultured_eukaryote	Ascobolaceae	9	Saprotroph	Dung Saprotroph-Soil Saprotroph-Wood Saprotrop	NULL	NULL	Probable	NULL	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
New.CleanUp.ReferenceOTU1048504	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Ochroconis;s__uncultured_eukaryote	Ochroconis	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1054705	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellomycetes;g__Tremellales;s__uncultured_eukaryote	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Tremelloid-Yeast	NULL	Possible	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
New.CleanUp.ReferenceOTU1057260	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Ascobolaceae;g__uncultured;s__uncultured_eukaryote	Ascobolaceae	9	Saprotroph	Dung Saprotroph-Soil Saprotroph-Wood Saprotrop	NULL	NULL	Probable	NULL	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
New.CleanUp.ReferenceOTU1058525	Mycocalia_denudata|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Agaricaceae;g__Mycocalia;s__Mycocalia_denudata	Mycocalia	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1059288	uncultured_Sporidiobolales|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Sporobolomyces;s__uncultured_Sporidiobolales	Sporobolomyces	13	Pathotroph-Saprotroph	Fungal Parasite-Litter Saprotroph	Yeast	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688; Nagy GL, et al. 2014. Nature Communications 5:4471; Purahong W, et al. 2016. Molecular Ecology 25:4059-4074
New.CleanUp.ReferenceOTU1062935	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellomycetes;g__Tremellales;s__uncultured_eukaryote	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Tremelloid-Yeast	NULL	Possible	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
New.CleanUp.ReferenceOTU1063413	Glomus_sp_W3349|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Glomeromycetes;g__Glomerales;s__Glomus_sp_W3349	Glomerales	7	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	Redecker D, et al. 2013. Mycorrhiza 23:515-531
New.CleanUp.ReferenceOTU1063525	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellomycetes;g__Tremellales;s__uncultured_eukaryote	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Tremelloid-Yeast	NULL	Possible	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
New.CleanUp.ReferenceOTU1064602	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellomycetes;g__Tremellales;s__uncultured_eukaryote	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Tremelloid-Yeast	NULL	Possible	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
New.CleanUp.ReferenceOTU1067667	Mortierella_alpina|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Mortierellales;s__Mortierella_alpina	Mortierella	13	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Probable	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688; Purahong W, et al. 2016. Molecular Ecology 25:4059-407
New.CleanUp.ReferenceOTU1068649	Pythium_violae|p__SAR;c__Stramenopiles;o__Peronosporomycetes;f__Pythium;g__Pythium violae;s__Pythium_violae	Pythium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
New.CleanUp.ReferenceOTU1069480	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellomycetes;g__Tremellales;s__uncultured_eukaryote	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Tremelloid-Yeast	NULL	Possible	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
New.CleanUp.ReferenceOTU1070210	Buckleyzyma_aurantiaca|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Rhodotorula;s__Buckleyzyma_aurantiaca	Rhodotorula	13	Pathotroph-Saprotroph	Animal Endosymbiont-Animal Pathogen-Endophyte-Plant Pathogen-Undefined Saprotroph	Yeast	NULL	Probable	Opportunistic human pathogen	http://www.cdc.gov
New.CleanUp.ReferenceOTU1071534	Geastrum_saccatum|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Geastraceae;g__Geastrum;s__Geastrum_saccatum	Geastraceae	9	Saprotroph	Undefined Saprotroph	Gasteroid	NULL	Probable	Common name - earthstar; Terrestrial, rarely on wood or coprophilous. Most species are presumed saprobes, but at least some may be ectomycorrhizal (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
New.CleanUp.ReferenceOTU1071808	Ophiosphaerella_herpotricha|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Dothideomycetes;g__Pleosporales;s__Ophiosphaerella_herpotricha	Ophiosphaerella	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1072997	Pythium_violae|p__SAR;c__Stramenopiles;o__Peronosporomycetes;f__Pythium;g__Pythium violae;s__Pythium_violae	Pythium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
New.CleanUp.ReferenceOTU1073236	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellomycetes;g__Tremellales;s__uncultured_eukaryote	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Tremelloid-Yeast	NULL	Possible	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
New.CleanUp.ReferenceOTU1074652	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellomycetes;g__Tremellales;s__uncultured_eukaryote	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Tremelloid-Yeast	NULL	Possible	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
New.CleanUp.ReferenceOTU107494	Candida_versatilis|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Candida;s__Candida_versatilis	Candida	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endosymbiont-Undefined Saprotroph	Yeast	NULL	Probable	This asexual genus is polyphyletic and contain species that function very differently depend on what they are. Caution should be taken when interpreting guilds for Candida species.	Manolakaki D, et al. 2010. Virulence. 1: 367-375
New.CleanUp.ReferenceOTU1075073	Malassezia_equina|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Malassezia;s__Malassezia_equina	Malassezia	13	Pathotroph-Saprotroph	Animal Pathogen-Undefined Saprotroph	Facultative Yeast	NULL	Probable	A lipid-dependent fungus growing on the sebaceous areas of human skin that may cause or exacerbate several skin diseases (Pityrosporum is a synonym that has been used for the yeast forms)	Findley K, et al. 2013. Nature 498:367-370
New.CleanUp.ReferenceOTU1076132	Holwaya_mucida_subsp_nipponica|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Leotiomycetes;g__Helotiales;s__Holwaya_mucida_subsp_nipponica	Holwaya	13	Saprotroph	Undefined Saprotroph	Microfungus	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1078908	Holwaya_mucida_subsp_nipponica|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Leotiomycetes;g__Helotiales;s__Holwaya_mucida_subsp_nipponica	Holwaya	13	Saprotroph	Undefined Saprotroph	Microfungus	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1081576	Gaertneriomyces_semiglobifer|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Spizellomycetaceae;g__Gaertneriomyces;s__Gaertneriomyces_semiglobifer	Gaertneriomyces	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1082542	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellomycetes;g__Tremellales;s__uncultured_eukaryote	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Tremelloid-Yeast	NULL	Possible	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
New.CleanUp.ReferenceOTU1082952	Mortierella_alpina|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Mortierellales;s__Mortierella_alpina	Mortierella	13	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Probable	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688; Purahong W, et al. 2016. Molecular Ecology 25:4059-407
New.CleanUp.ReferenceOTU1083113	Venturia_pyrina_ICMP_11032|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Venturiaceae;g__Venturia;s__Venturia_pyrina_ICMP_11032	Venturia	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)
New.CleanUp.ReferenceOTU1083277	Olpidium_brassicae|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Olpidiaceae;g__Olpidium;s__Olpidium_brassicae	Olpidiaceae	9	Pathotroph	Animal Parasite-Fungal Parasite	NULL	NULL	Probable	Parasitic on algae, fungi, mosses, pollen grains and vegetative tissues of flowering and crop plants	Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology: Basic Concepts, New India Publishing, New Delhi
New.CleanUp.ReferenceOTU1086250	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellomycetes;g__Tremellales;s__uncultured_eukaryote	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Tremelloid-Yeast	NULL	Possible	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
New.CleanUp.ReferenceOTU1086740	Holwaya_mucida_subsp_nipponica|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Leotiomycetes;g__Helotiales;s__Holwaya_mucida_subsp_nipponica	Holwaya	13	Saprotroph	Undefined Saprotroph	Microfungus	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1087763	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Tremellomycetes;g__Tremellales;s__uncultured_eukaryote	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Tremelloid-Yeast	NULL	Possible	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
New.CleanUp.ReferenceOTU1094692	Asteromassaria_olivaceohirta|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Pleomassariaceae;g__Asteromassaria;s__Asteromassaria_olivaceohirta	Pleomassariaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Plant Saprotroph	Microfungus	NULL	Probable	Saprobic or necrotrophic on wood, bark and herbaceous material (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
New.CleanUp.ReferenceOTU1099241	Endogone_lactiflua|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Endogonaceae;g__Endogone;s__Endogone_lactiflua	Endogone	13	Symbiotroph	Ectomycorrhizal	Gasteroid	Hypogeous	Probable	Common name - false truffle	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte); http://mycorrhizas.info/ecmf.html
New.CleanUp.ReferenceOTU1101639	Mortierella_alpina|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Mortierellales;s__Mortierella_alpina	Mortierella	13	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Probable	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688; Purahong W, et al. 2016. Molecular Ecology 25:4059-407
New.CleanUp.ReferenceOTU1102998	uncultured_eukaryote|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Ascobolaceae;g__uncultured;s__uncultured_eukaryote	Ascobolaceae	9	Saprotroph	Dung Saprotroph-Soil Saprotroph-Wood Saprotrop	NULL	NULL	Probable	NULL	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
New.CleanUp.ReferenceOTU1103470	Syncephalis_depressa|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Piptocephalidaceae;g__Syncephalis;s__Syncephalis_depressa	Syncephalis	13	Pathotroph	Fungal Parasite	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1104673	Rhopalomyces_elegans|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Helicocephalidaceae;g__Rhopalomyces;s__Rhopalomyces_elegans	Rhopalomyces	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:1256688
New.CleanUp.ReferenceOTU1107198	Olpidium_brassicae|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Olpidiaceae;g__Olpidium;s__Olpidium_brassicae	Olpidiaceae	9	Pathotroph	Animal Parasite-Fungal Parasite	NULL	NULL	Probable	Parasitic on algae, fungi, mosses, pollen grains and vegetative tissues of flowering and crop plants	Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology: Basic Concepts, New India Publishing, New Delhi
New.CleanUp.ReferenceOTU110736	Mortierella_alpina|p__Opisthokonta;c__Nucletmycea;o__Fungi;f__Incertae Sedis;g__Mortierellales;s__Mortierella_alpina	Mortierella	13	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Probable	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688; Purahong W, et al. 2016. Molecular Ecology 25:4059-407
