,Domain,Phylum,Class,Order,Family,Genus,Species,OTU
FJ466261.1.1459,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,unc_Chitinophagaceae,Ambiguous_taxa,FJ466261.1.1459
HM268999.1.1363,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,unc_Chitinophagaceae,uncultured bacterium,HM268999.1.1363
EU769160.1.1490,Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,unc_Alcaligenaceae,uncultured bacterium,EU769160.1.1490
KM036216.1.1513,Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,unc_Alcaligenaceae,uncultured bacterium,KM036216.1.1513
KP183072.1.1501,Bacteria,Betaproteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,unc_Rhodocyclaceae,uncultured Alcaligenaceae bacterium,KP183072.1.1501
LN560762.1.1365,Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,unc_Alcaligenaceae,uncultured bacterium,LN560762.1.1365
GQ140334.1.1478,Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,unc_Alcaligenaceae,uncultured bacterium,GQ140334.1.1478
HK555664.1.1292,Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,unc_Alcaligenaceae,uncultured bacterium,HK555664.1.1292
KJ923791.1.1343,Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,unc_Alcaligenaceae,uncultured bacterium,KJ923791.1.1343
KR083834.1.1300,Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,unc_Alcaligenaceae,uncultured bacterium,KR083834.1.1300
FJ950599.1.1456,Bacteria,Betaproteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,unc_Alcaligenaceae,uncultured bacterium,FJ950599.1.1456
GU731261.1.1392,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,unc_Paenibacillaceae,bacterium enrichment culture clone heteroA8_4W,GU731261.1.1392
FN563170.1.1481,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,unc_Paenibacillaceae,uncultured bacterium,FN563170.1.1481
New.ReferenceOTU983,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,unc_Paenibacillaceae,uncultured compost bacterium,New.ReferenceOTU983
New.ReferenceOTU238,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,unc_Paenibacillaceae,uncultured bacterium,New.ReferenceOTU238
JF833586.1.1431,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,unc_Gemmatimonadaceae,Ambiguous_taxa,JF833586.1.1431
New.ReferenceOTU132,Bacteria,Gemmatimonadetes,Longimicrobia,Longimicrobiales,Longimicrobiaceae,unc_Longimicrobiaceae,uncultured bacterium,New.ReferenceOTU132
New.ReferenceOTU1019,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,FukuN18 freshwater group,FukuN18 freshwater group,uncultured bacterium,New.ReferenceOTU1019
New.ReferenceOTU52,Bacteria,Verrucomicrobia,OPB35 soil group,uncultured bacterium,uncultured bacterium,OPB35 soil group,uncultured bacterium,New.ReferenceOTU52
DQ346513.1.1520,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,unc_Paenibacillaceae,uncultured compost bacterium,DQ346513.1.1520
New.ReferenceOTU547,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Myxococcales,Vulgatibacteraceae,Vulgatibacter,uncultured compost bacterium,New.ReferenceOTU547
